label,sentence1,sentence2
1,体内HIV可完全清除,体内的艾滋病病毒是如何清除的
0,献血会不会感染上疾病,A型血易感新冠肺炎
0,献血前是吃饱了去，还是空腹呢,我害怕献血怎么办
0,献血能喝咖啡吗,Rh阴性患者如何输血
0,我很怕痛，献血会痛吗,为什么采血时塑料采血袋在不停地摆动
0,采血方式有哪几种,献血影响健康吗
1,餐后献血会大大减少献血反应吗,餐后献血更好吗
1,国家有关无偿献血的表彰及献血者的权利有哪些,献血者家庭成员的有待政策有哪些
1,为什么血压不合格不能献血,为什么血压不合格不能献血
0,月经期间为何不能献血,如果贫血怎么还可以献血吧
1,亲属间输血安全吗,亲属间输血安全吗
0,捐血的时候容易被传染疾病吗,是不是献了一次血后，就必须不停地献血
0,不知道献血码怎么查询献血记录,为什么无偿献血，但输血却要收费
1,自体输血适合您吗,自体输血适合您吗
1,献血会不会感染上疾病,在献血车上献血会感染上疾病吗
1,献血能降血脂,献血可以降血脂吗
1,为什么纹身、打耳洞一年内不能献血,打完耳洞可以献血吗
1,输注少白细胞红细胞的临床意义有哪些,输注少白细胞红细胞的临床意义有哪些
0,捐献造血干细胞影响身体健康吗,捐献成分血会不会感染疾病
0,血液的颜色是什么,血液的主要组成成分有哪些
0,HLA与器官移植有什么关系,《献血法》对医疗机构临床用血有什么规定
1,为什么血压不合格不能献血,低血压为什么不能献血
0,急性等容稀释式自身输血（ANH）要注意哪些问题,血站对采集的血液要做怎样的处理
0,为什么要推行机采成分血,为什么在献血登记前要求填写健康征询表
1,哪些情况需要输血,什么情况需要输血
0,捐献者需要承担什么费用吗,献血会不会感染上疾病
1,输过血的人，为什么要1年后才能献血,输过血的人，为什么要1年后才能献血
0,献血是不是应该有偿,献血可以减肥吗
0,献血影响健康吗,献血后血液多长时间能恢复
1,餐后献血会大大减少献血反应吗,餐后献血将会降低献血反应
0,献血后如何按压针眼,人体造血的原料是什么
0,输注红细胞时应该注意什么,献血会导致身体发胖吗
1,献血会不会感染上疾病,献血后会不会的传染病
0,为什么无偿献血，但输血却要收费,献血影响健康吗
1,献血可以减肥吗,献血后体重会不会改变
1,献血被拒绝，您知道为什么吗,献血被拒绝，您知道为什么吗
0,父母的血型与子女的血型有什么关系,为什么献血检测结果与医院检验结果不一样
0,血液的主要功能有哪些,哪些情况需要输血
0,为什么不提倡近亲输血,血液的主要组成成分有哪些
1,不同血型的人可以互相输血吗,不同血型的人可以互相输血吗
1,母婴哪些血型会发生新生儿溶血症,母婴哪些血型会发生新生儿溶血症
1,献血能喝咖啡吗,献血能喝咖啡吗
0,凝血过程中需要钙离子吗,为什么45-55岁的健康者不再接受采集造血干细胞登记
0,O型全血是万能血吗,献血前是吃饱了去，还是空腹呢
1,献血前不能吃豆浆牛奶鸡蛋咸菜，这些“经验”是怎么来的,献血前不能吃豆浆牛奶鸡蛋咸菜，这些“经验”是怎么来的
0,如何评价血小板减少性紫癜的疗效,血型与器官移植有关吗
0,为什么献血时要携带有效身份证件,捐机采成分血和捐献全血有区别吗
0,是谁第一个将人血输给人的,捐机采成分血对身体有什么影响吗
1,输过血的人可以献血吗,身体不适可以献血吗
1,输血与血型之间的关系是什么,输血跟血型有啥关联
0,血液检验报告单上的“两对半”啥意思,献血被拒绝，您知道为什么吗
1,为什么不提倡近亲输血,为啥亲人间不能输血
1,血型能变吗,血型会变吗
0,为什么血压不合格不能献血,人体内有哪些造血器官
1,献血后如何按压针眼,献血后，如何有效的按压针眼
0,蹲下再站起来会头晕或眼前一片黑可以献血吗,献血是不是应该有偿
0,为什么少数人会发生献血反应,献血要经过哪些步骤
1,献血前应该喝糖水还是盐水,献血前应该喝糖水还是盐水
0,人体哪些器官有贮血功能,血型是怎样遗传的
0,正常情况下心血管内的血液为什么不发生凝固,献血中出现低血糖性昏厥该如何处理
1,人的血管能有多长,人的血管长度是多少
1,让职工上班时间献血，单位的损失不是太大了吗,组织职工上班时间献血，单位的损失是不是太大了
1,献血后为什么手臂会出现淤血,献血后为什么手臂会出现一大片瘀青
0,捐献全血的流程包括什么,血型可以人为改变吗
0,体内HIV可完全清除,献血会不会感染上疾病
1,月经期间为何不能献血,月经期间为何不能献血
1,捐献血小板有哪些激励政策,捐献血小板有哪些激励政策
0,还有什么血型系统与输血关系很大,想献血但勇气不够怎么办
1,平常还要体育锻炼怎么办,献完血可以锻炼吗
0,捐献成分血会不会感染疾病,捐血的时候容易被传染疾病吗
1,正常人献血200~400毫升后在饮食上应注意什么,献血者献血后需要在饮食上注意什么
0,输血浆也需要血型相同吗,怎样处理单采血小板献血者偶发的缺钙症状
0,交叉配血是怎么回事,捐献成分血会不会感染疾病
1,献血时紧张怎么办,献血时紧张怎么办
0,高脂血患者平时怎么吃,献血被拒绝，您知道为什么吗
0,熊猫血会遗传吗 熊猫血怎么遗传,献血能降血脂
0,采集造血干细胞的方法是怎样的,无偿献血者应受到哪些奖励
0,哪一年ABO血型系统正式命名的,一年献一次献血量算多吗
0,三种输血方式_哪种适合您,人体造血的原料是什么
0,《献血法》鼓励哪些人率先参加献血,HIV(人类免疫缺陷病毒抗体)的检测意义是什么
0,《献血法》对医疗机构临床用血有什么规定,为什么血压不合格不能献血
1,最近生过病怎么办,生病了能献血吗
1,献血后饮食如何调理,献血后吃什么好
1,体内HIV可完全清除,体内的hiv是如何完全清除的
0,献血后补充哪种食物才能快速恢复元气,为什么献血使用的针头比一般的粗
1,O型血是万能血吗？哪种血型最有用,O型血是万能血吗？哪种血型最有用
1,为什么献完血要按压针眼及上方5—10分钟,献血完为啥要按压5分钟
0,HLA与输血有什么关系,身体里有多余的血吗
1,爱喝酒的人血液里的酒精会不会太多,经常喝酒的人血液里酒精更多吗
0,献血前连豆浆也不能喝,人的血型会改变吗
0,Rh（－）属稀有血型吗,为什么无偿献血，但输血却要收费
0,献血会导致身体发胖吗,为什么献血时要携带有效身份证件
0,贫血到什么程度需输血,你的血型暗藏什么致命疾病
1,是谁第一个将人血输给人的,是谁第一个将人血输给人的
0,血小板的“神奇功效”，您知道几个,你接种的新冠病毒疫苗是哪种？间隔多久能献血？一文告诉你
1,献血后身体会发胖吗,献血后身体会发胖吗
1,目前临床输血进展如何,临床输血最新进展
1,捐献后的血液需要低温保存吗,捐献的血液是如何保存的
0,为什么无偿献血，但输血却要收费,献血会传染疾病吗
0,为什么鼓励一次献血400毫升,感冒是否可以献血
0,为什么推行捐献采成分血,母婴哪些血型会发生新生儿溶血症
1,为什么直系亲属间输血并不安全,为什么直系亲属间输血比较危险
1,是不是献了一次血后，就必须不停地献血,是不是献了一次血后，就需要定期献血
0,“中国造血干细胞捐献者资料库”的哪些工作是与国际先进水平接轨的,献血前连豆浆也不能喝
1,你的血型暗藏什么致命疾病,血型和相关易发疾病有哪些
0,人体内有哪些造血器官,输血不畅如何处理
1,RhD阴性患者如何输注血小板,RhD阴性患者如何输注血小板
0,蹲下再站起来会头晕或眼前一片黑可以献血吗,在采集造血干细胞前为什么要对捐献者使用造血干细胞动员
0,国家制定《献血法》的目的是什么,输过血的人可以献血吗
1,凝血过程中需要钙离子吗,钙离子在凝血过程中的作用
1,献血后为防止针眼感染一般多少天内不要沾水,献血后，针眼多少天愈合
1,是谁第一个将人血输给人的,第一例人与人之间输血成功的创始者是谁
0,血站对采集的血液要做怎样的处理,输血与血型之间的关系是什么
0,人体血容量究竟是怎么算出来的,已经献过血了，可以不献了吧
0,想献血但勇气不够怎么办,献血影响健康吗
0,国家有关无偿献血的表彰及献血者的权利有哪些,为什么血压不合格不能献血
1,你接种的新冠病毒疫苗是哪种？间隔多久能献血？一文告诉你,接种灭火新冠病毒疫苗后能献血
0,什么是不规则抗体,献血时紧张怎么办
0,抗凝剂是如何抗凝的,如何计算每袋全血的重量
0,HLA与器官移植有什么关系,为什么献血需核对身份证
0,献血后会贫血吗,我国公民参加献血的年龄规定是多少
0,献血后血液多长时间能恢复,为什么不能输脂肪血
0,血压是怎样形成的,害怕针怎么办
1,捐献造血干细胞影响身体健康吗,捐献造血干细胞安全吗
0,我很怕痛，献血会痛吗,如何预防献血中出现低血糖性昏厥
1,采血方式有哪几种,采血方式有哪几种
0,贮存式自身输血要注意哪些问题,为什么直系亲属之间不宜相互献血
1,献血前连豆浆也不能喝,献血前可以喝豆浆吗
1,为什么直系亲属之间不宜相互献血,直系亲属间可以献血吗
0,ABO血型鉴定的原理是什么,献血后为防止针眼感染一般多少天内不要沾水
1,为什么说全血并不全,全血是啥
1,献血可能会导致“贫血”吗,无偿献血会引起贫血吗
0,献血后怎样查询血液检测结果,每次献血献少点好吗
0,我国公民参加献血的年龄规定是多少,空腹献血者为什么偶尔可出现低血糖性昏厥
1,平时我要体力劳动怎么办,平时我要体力劳动怎么办
0,献血后，教你如何正确补血,HIV(人类免疫缺陷病毒抗体)的检测意义是什么
1,献血丢失的血液需要多久能恢复_需要“静养”、“进补”吗,献血丢失的血液需要多久能恢复_需要“静养”、“进补”吗
0,血小板是否必须同型输注,为什么血液的颜色有差别
1,血液的颜色是什么,血液的颜色是什么
0,公民献血应遵守哪些规定,"我献出的血液,采供血机构会如何处理"
0,流动献血车属于哪个医院的,想献血但勇气不够怎么办
0,平时我要体力劳动怎么办,为什么不能输脂肪血
1,输血不畅如何处理,输血不畅如何处理
1,血液流速与哪些因素有关,血液流的好慢， 为什么
1,公民献血应遵守哪些规定,献血需要遵守什么规定
0,捐献者需要承担什么费用吗,Rh阴性为何如此“稀有”
0,为什么少数人会发生献血反应,为什么要保管好《无偿献血证》
0,宝宝的性格遗传谁多一些呢,不同血型的人可以互相输血吗
0,出现意外伤害时献血也不迟吧,献血后多长时间才能参加运动
0,献全血好还是血小板好？献血的10个小纠结，一次解决,“中国造血干细胞捐献者资料库”的哪些工作是与国际先进水平接轨的
0,秋冬季献血应注意什么,怎样处理单采血小板献血者偶发的缺钙症状
0,为什么需要献血,一年献一次献血量算多吗
0,捐机采成分血对身体有什么影响吗,人体内血液总量是多少
0,血液是否有有效期,想献血但勇气不够怎么办
1,公民如何参加献血,公民如何参加献血
0,B型血者如何真正快乐起来,献血后补充哪种食物才能快速恢复元气
1,血液为什么是咸的,血液为什么是咸的
0,捐献造血干细胞对健康有影响吗,献血能降血脂
0,为什么要控制采血的“量”,捐血的时候容易被传染疾病吗
1,献血会不会感染上疾病,献血安全吗？会不会感染疾病
0,为什么有的人献血后会头晕,选择什么样的血管采血
0,护士对安全输血起什么作用,献血前你想好了么
1,献血前是吃饱了去，还是空腹呢,献血需要空腹吗
1,血型和性格有关吗,血型和性格有联系吗
1,捐献成分血会不会感染疾病,献成分血感染疾病的可能性大吗
0,是否献一次血后必须不断的献血,献血前连豆浆也不能喝
0,Rh阴性患者如何输血,为什么血液中心的检测结果不能作为疾病诊断最终结果
1,血型是怎样遗传的,血型是怎样遗传的
0,为什么献血前有的人心里感到紧张,我献出的血液，采供血机构会如何处理
0,贮存式自身输血的临床应用哪些,人体内血液总量是多少
0,最近生过病怎么办,献血能喝咖啡吗
0,献血会影响体力吗,血型是怎样遗传的
0,献血前你想好了么,为什么艾滋病病毒抗体（HIV抗体）阳性不能献血
1,秋冬季献血应注意什么,秋冬季献血注意事项有哪些
0,输注少白细胞红细胞的临床意义有哪些,为什么临床输血常用枸橼酸盐作抗凝剂
0,O型全血是万能血吗,为什么要控制采血的“量”
0,为什么无偿献血，但输血却要收费,献血会影响体力吗
0,献血的8种好处，您知道多少,Rh阴性患者如何输血
0,RhD阴性患者如何输注血小板,献血前是吃饱了去，还是空腹呢
0,血液的颜色是什么,Rh血型是如何遗传的
1,白细胞膜上的抗原可分为几类,人类白细胞膜上都有哪几类抗原
1,为什么献血使用的针头比一般的粗,献血的针头大吗
1,如何预防输血相关移植物抗宿主病（TA-GVHD）,如何预防输血相关移植物抗宿主病（TA-GVHD）
0,血液可以买卖么?如买卖血液会受到何种处罚,血型能变吗
0,为什么血液的颜色有差别,血液检验报告单上的“两对半”啥意思
0,白细胞是怎样排除异己的,献血中出现低血糖性昏厥该如何处理
0,常见血液制品有哪些临床用途,出现意外伤害时献血也不迟吧
1,想献血但勇气不够怎么办,想献血但是害怕怎么办
0,献血后血液多长时间能恢复,《献血法》对医疗机构临床用血有什么规定
0,血型与器官移植有关吗,为什么血液的颜色有差别
0,想献血但勇气不够怎么办,让职工上班时间献血，单位的损失不是太大了吗
0,全血为什么需要在4±2℃保存,捐献血小板有哪些激励政策
0,为什么血压不合格不能献血,献血影响健康吗
1,《中华人民共和国献血法》是何时通过、何时实施的,献血法什么时候实施的
0,"我献出的血液,采供血机构会如何处理",让职工上班时间献血，单位的损失不是太大了吗
1,献血后如何保护针眼,你知道献血后该如何保护针眼吗
0,公民如何参加献血,捐机采成分血对身体有什么影响吗
0,血液流速与什么因素有关,献血前是吃饱了去，还是空腹呢
0,亲属间输血安全吗,献血后如何按压针眼
0,贫血到什么程度需输血,人体哪些器官有贮血功能
1,献血后为防止针眼感染一般多少天内不要沾水,献血后，针眼多久闭合
0,献血前不能吃豆浆牛奶鸡蛋咸菜，这些“经验”是怎么来的,让职工上班时间献血，单位的损失不是太大了吗
0,第VIII因子浓缩剂与冷沉淀在适应症方面有什么区别,高度近视者为何不能献血
0,献血者有哪些权利应受保护,献血能喝咖啡吗
1,为什么“受血者”要在受血五年后再献血,输血有何要求
0,新冠肺炎疫情常态化防控怎么做,熊猫血会遗传吗 熊猫血怎么遗传
0,捐献者需要承担什么费用吗,交叉配血是怎么回事
0,血液可以买卖么?如买卖血液会受到何种处罚,献血前连豆浆也不能喝
1,让职工上班时间献血，单位的损失不是太大了吗,让职工上班时间献血，单位的损失大吗
0,交叉配血是怎么回事,为什么血压不合格不能献血
0,输血可以引起哪些疾病,献血能降血脂
0,为什么无偿献血，但输血却要收费,用于亲子鉴定的有哪几种血型系统
0,我献出的血液，采供血机构会如何处理,为什么采血时塑料采血袋在不停地摆动
0,捐献成分血会不会感染疾病,为什么“受血者”要在受血五年后再献血
0,什么是血液的比重,红细胞在4度条件下为什么不能永久保存
0,我害怕献血怎么办,输血浆也需要血型相同吗
1,献血会导致身体发胖吗,献血回使人发胖吗
0,哪一年ABO血型系统正式命名的,O型全血是万能血吗
0,感冒是否可以献血,捐机采成分血和捐献全血有区别吗
0,献血安全吗,如何评价血小板减少性紫癜的疗效
0,献血后血液多久可以恢复,输血可以引起哪些疾病
0,如果贫血怎么还可以献血吧,血小板的“神奇功效”，您知道几个
0,什么是不规则抗体,为什么需要献血
0,输血浆也需要血型相同吗,输血是治疗贫血最有效的方法吗
0,献血要经过哪些步骤,你接种的新冠病毒疫苗是哪种？间隔多久能献血？一文告诉你
0,输注少白细胞红细胞的临床意义有哪些,目前临床输血进展如何
1,血型能变吗,血型长大后会变化吗
0,空腹献血者为什么偶尔可出现低血糖性昏厥,输血是 越“新鲜”越好吗
0,输血与血型之间的关系是什么,献血后补充哪种食物才能快速恢复元气
0,血型与器官移植有关吗,献血可以减肥吗
0,哪些人不适合献血,Rh阴性患者是否只能使用Rh阴性血
0,Rh阴性为何如此“稀有”,捐机采成分血对身体有什么影响吗
1,献血能喝咖啡吗,喝完咖啡能献血吗
0,为什么献血时要携带有效身份证件,为什么45-55岁的健康者不再接受采集造血干细胞登记
0,为什么血压不合格不能献血,输过血的人，为什么要1年后才能献血
0,想献血但勇气不够怎么办,高度近视者为何不能献血
1,滤除血液中白细胞的时机有什么意义,滤除血液中白细胞的时机有什么意义
1,国际社会公认的“无偿献血者”的概念是什么,无偿献血者概念是什么
1,打疫苗对献血有何影响,打疫苗对献血有何影响
0,献血后，教你如何正确补血,为什么献血需核对身份证
0,人体内血液总量是多少,血液流速与什么因素有关
0,Rh是如何遗传的,献血会影响体力吗
1,捐献全血的流程包括什么,捐献全血的流程包括什么
1,献血前应做哪些准备,献血前需要做什么准备工作
0,献血前连豆浆也不能喝,蹲下再站起来会头晕或眼前一片黑可以献血吗
0,体内HIV可完全清除,夏季献血，那些你不知道的事
1,为什么无偿献血，但输血却要收费,都说无偿献血，为什么输血要收费
0,用于亲子鉴定的有哪几种血型系统,献血的8种好处，您知道多少
0,平常还要体育锻炼怎么办,哪一年ABO血型系统正式命名的
1,献血后多长时间才能参加运动,献血后多久才能恢复锻炼
0,全血有什么功能,为什么“受血者”要在受血五年后再献血
1,用于亲子鉴定的有哪几种血型系统,亲子鉴定与哪几种血型系统有关系
1,献血前是吃饱了去，还是空腹呢,献血是否应该空腹
0,献血能喝咖啡吗,输血时若遇含有冷凝集素的血时怎么办
0,如何知道自己已成为捐献造血干细胞志愿者,有血液恐惧症怎么办
0,你接种的新冠病毒疫苗是哪种？间隔多久能献血？一文告诉你,O型全血是万能血吗
0,健康者在多大年龄适合捐献造血干细胞_标准如何,为什么45-55岁的健康者不再接受采集造血干细胞登记
0,采血方式有哪几种,我国公民参加献血的年龄规定是多少
1,人失血多少会有生命危险,人失血多少会有生命危险
0,既然提倡成分输血，那我献的全血去哪了,公民献血后，采供血机构应发给献血者什么凭证
0,献血后该如何止血,在采集造血干细胞前为什么要对捐献者使用造血干细胞动员
0,采血时血液流速会影响血液质量吗,熊猫血会遗传吗 熊猫血怎么遗传
0,为什么血液中心的检测结果不能作为疾病诊断最终结果,血型能改变吗
0,献血后为防止针眼感染一般多少天内不要沾水,献血后多长时间才能参加运动
0,公民如何参加献血,什么情况下输血才需要加温
0,血压是怎样形成的,献血后血液多长时间能恢复
0,献血影响健康吗,我很怕痛，献血会痛吗
0,造血干细胞移植可治疗哪些疾病,输血能成为埃博拉病毒感染者的新希望吗
1,对非法采供血者的处罚有哪些,非法采供血有什么惩罚
0,还有什么血型系统与输血关系很大,不知道献血码怎么查询献血记录
1,有血液恐惧症怎么办,得了血液恐惧症怎么办
0,献血是不是应该有偿,献血前是吃饱了去，还是空腹呢
0,爱喝酒的人血液里的酒精会不会太多,捐机采成分血对身体有什么影响吗
1,输过血的人可以献血吗,我输过血，还能献血吗
0,献血前应做哪些准备,献血对身体有害吗
0,血液，需多长时间能恢复原来水平,捐献造血干细胞影响身体健康吗
0,机采成分血对身体有什么影响吗,为什么少数人会发生献血反应
1,如何预防献血中出现低血糖性昏厥,如何避免低血糖抽血晕倒
1,有的人为什么见血会晕倒,有的人为什么见血会晕倒
0,红细胞在4度条件下为什么不能永久保存,还有什么血型系统与输血关系很大
0,为什么少数人会发生献血反应,B型血者如何真正快乐起来
0,HLA与器官移植有什么关系,献血会不会感染上疾病
1,献血后要进补吗,献血后，要怎样通过饮食适当进补
0,Rh（－）者输血供应有保障吗,献血可以减肥吗
1,“中国造血干细胞捐献者资料库”的哪些工作是与国际先进水平接轨的,“中国造血干细胞捐献者资料库”的工作与国际先进水平接轨的是哪些
1,为什么献血针眼处有时会淤青,为什么献血针眼处有时会淤青
1,血型能改变吗,可以改变血型吗
0,怎样处理单采血小板献血者偶发的缺钙症状,对非法采供血者的处罚有哪些
0,献血前连豆浆也不能喝,Rh是如何遗传的
0,怎样处理单采血小板献血者偶发的缺钙症状,A型血易感新冠肺炎
0,孕妈妈为什么要了解自己的血型呢,机采成分血对身体有什么影响吗
1,什么人可以参加献血,什么人可以参加献血
1,Rh（－）者如何自我保护,Rh（－）者如何自我保护
0,我国公民参加献血的年龄规定是多少,为什么直系亲属之间不能相互献血
0,体内HIV可完全清除,为什么无偿献血，但输血却要收费
0,输血是治疗贫血最有效的方法吗,空腹献血者为什么偶尔可出现低血糖性昏厥
1,ABO血型鉴定的原理是什么,血型鉴定原理
1,捐献者需要承担什么费用吗,献血者需要承担费用吗
0,人的血管能有多长,为什么艾滋病病毒抗体（HIV抗体）阳性不能献血
0,献血是不是应该有偿,捐献造血干细胞有报酬吗
0,交叉配血是怎么回事,蹲下再站起来会头晕或眼前一片黑可以献血吗
0,为什么不提倡近亲输血,红细胞在4度条件下为什么不能永久保存
0,血型可以人为改变吗,献血会不会感染上疾病
0,血液有代用品吗,献血为何要补充水份
0,如果贫血怎么还可以献血吧,人体内血液总量是多少
1,选择什么样的血管采血,什么样的血管适合献血
1,为什么献血使用的针头比一般的粗,献血的针管有多粗
