T1	行业标准 74 84	献血不良反应分类指南
T70	指导意见 2167 2183	C 类 单采血液成分相关不良反应
T71	指导意见 2193 2359	枸橼酸盐反应。枸橼酸盐是单采血液成分常用的抗凝剂，通过螯合钙离子而发挥抗凝作用。在单采过程中，较大量枸橼酸盐回输到献血者体内，可引发低钙血症和低镁血症。神经肌肉系统的表现主要有口唇及口周发麻、面部麻木、头晕、抽搐、颤抖、恶心、呕吐，严重者出现腕足强直性痉挛、抽搐。心血管系统的表现主要有低血压、心律不齐、心电图QT间期明显延长。
T72	指导意见 2369 2468	溶血反应。献血者红细胞膜脆性高或在单采过程中红细胞受到损伤所致。主要表现有寒战、发热、烦躁、胸痛、背痛、腹痛、恶心、呕吐、腹泻、面色潮红、呼吸困难、低血压、休克、全身出血及血红蛋白尿、少尿或无尿等。
T73	指导意见 2478 2567	全身过敏反应。献血者对一次性单采耗材灭菌剂或者在单采粒细胞程序采用的添加剂发生过敏反应。主要表现有荨麻疹、眶周水肿、呼吸困难、唇周发红肿胀，严重者可出现喉头水肿、低血压甚至休克。
T74	指导意见 2577 2647	空气栓塞。较大量空气通过单采设备或者破漏管路进入静脉系统所致，是单采的罕见不良反应。主要表现有胸部不适、呼吸困难、心动过速、低血压甚至休克。
T75	指导意见 2655 2669	D 类 献血相关其他不良反应
T76	指导意见 2673 2699	不属于3.1～3.3所述的其他献血不良反应归入该类。
T77	指导意见 2706 2719	献血不良反应严重程度的评估
T78	指导意见 2727 2767	根据是否需要治疗和结局，献血不良反应严重程度可分为重度不良反应和非重度不良反应。
T79	指导意见 2775 2801	具备以下任一条件的献血不良反应可判断为重度不良反应：
T80	指导意见 2808 2830	献血不良反应导致住院并采取以下任一治疗措施：
T81	指导意见 2835 2855	防止机体功能受到终身性损害或损伤的治疗；
T82	指导意见 2860 2868	防止死亡的治疗。
T83	指导意见 2873 2907	献血不良反应导致明显残疾或功能不全，且在献血后持续存在 1 年以上。
T84	指导意见 2912 2944	献血不良反应出现后发生死亡，死亡原因可疑、可能或肯定与献血有关。
T85	指导意见 2952 2982	不符合上述重度不良反应判断条件的不良反应即为非重度不良反应。
T86	指导意见 2989 3002	不良反应与献血相关性的评估
T87	指导意见 3010 3033	根据证据的支持力度评估不良反应与献血的相关性。
T88	指导意见 3041 3061	不良反应与献血的相关性分为以下 5 级：
T89	指导意见 3068 3104	1 级：肯定相关，支持献血导致不良反应发生的证据确凿，不存在合理的质疑；
T90	指导意见 3109 3137	2 级：可能相关，证据明显有利于支持不良反应与献血相关；
T91	指导意见 3142 3176	3 级：可疑相关，证据无法确定不良反应与献血相关还是与其他因素相关；
T92	指导意见 3181 3211	4 级：可能无关，证据明显有利于支持不良反应与其他原因相关；
T93	指导意见 3216 3259	5 级：肯定无关，支持献血以外的其他原因导致不良反应发生的证据确凿，不存在合理的质疑。
T94	体检医师岗 716 724	献血不良反应分类
T95	体检医师岗 732 748	A 类 以局部表现为主的不良反应
T96	体检医师岗 758 780	A1 类 以穿刺部位出血为主要表现的不良反应
T97	体检医师岗 792 1018	血肿（瘀斑）。因血液从血管穿刺处流出并在皮下软组织中淤积所致。如存在明显肿胀，即为血肿。如不存在明显肿胀，即为瘀斑。主要表现有皮肤瘀斑、变色，肿胀及局部疼痛，随着血肿体积增大，出现肿胀，肿胀压迫周围组织，压迫强度取决于血肿的大小和周围组织的疏松程度。压迫神经时可导致神经症状，如放射至前臂和手的疼痛以及血肿周围的刺痛。血液淤积于前臂前侧深部的肌肉和肌腱组织之间形成的血肿，初期难以被发现，血肿增大时，压迫强度加重，常出现神经刺激、骨筋膜室综合征等症状。
T98	体检医师岗 1030 1165	刺入动脉。采血针刺入肱动脉或其分支，表现为肘部轻度疼痛，所采集血液呈鲜红色，采血针随动脉搏动而跳动，血袋异常快速充盈。如处理得当，可不形成血肿，也不出现其他不良反应。但是刺入动脉引起大血肿的可能性较大，因而出现前臂骨筋膜室综合征、肱动脉假性动脉瘤和动静脉瘘的概率也较高。
T99	体检医师岗 1177 1261	迟发型出血。在献血者离开献血场所，解除穿刺部位的按压或包扎绷带之后，穿刺部位重新自发性出血。其原因可能是按压部位不正确或按压时间不够长，或者献血者手臂用力或举重物所致。
T100	体检医师岗 1271 1289	A2 类 以疼痛为主要表现的不良反应
T101	体检医师岗 1301 1388	神经刺激。因血肿压迫神经所致，表现为与血肿部位相关的神经放射痛和/或感觉异常，但血肿可不明显。疼痛并不是在穿刺进针时即刻发生，而是在穿刺后一段时间，当血肿达到足够大时才出现。
T102	体检医师岗 1400 1448	神经损伤。采血针进针或拔针时损伤神经，在穿刺进针或拔针时立刻发生放射性剧烈疼痛，常伴有感觉异常。
T103	体检医师岗 1460 1494	肌腱损伤。采血针刺伤肌腱，在采血针进针时立即出现的局部非放射性剧痛。
T104	体检医师岗 1506 1563	手臂疼痛。献血时或献血后数小时内手臂出现局部放射性疼痛，但没有其他表现，不宜将其归入神经刺激、神经损伤或肌腱损伤。
T105	体检医师岗 1573 1582	A3 类 局部炎症
T106	体检医师岗 1594 1673	血栓性静脉炎。与血栓相关的静脉炎症，表现为穿刺部位附近沿血管走向的局部红肿热痛，触痛明显。发生在浅静脉的血栓性静脉炎，表现为皮下有红色条索状物硬结，触痛明显。
T107	体检医师岗 1685 1738	局部皮肤过敏。献血者采血部位皮肤对采血过程中使用的医用耗材产生过敏反应，采血部位皮肤出现皮疹、肿胀和瘙痒。
T108	体检医师岗 1750 1785	局部感染。采血穿刺部位的感染性炎性反应，表现为局部皮肤红肿、炎性渗出。
T109	体检医师岗 1793 1809	B 类 以全身表现为主的不良反应
T110	体检医师岗 1813 1942	以全身表现为主的不良反应，即血管迷走神经反应，其诱因包括献血者心理生理因素以及血容量减少等。多数症状轻微，表现为全身不适、虚弱、面色苍白、出汗、焦虑、眩晕、恶心。少数比较严重，可出现一过性意识丧失（晕厥）、抽搐或大小便失禁。如发生晕厥和摔倒，可导致意外损伤。
T111	体检医师岗 1946 1953	分组情况如下：
T112	体检医师岗 1960 1987	根据是否发生晕厥进一步细分为晕厥和无晕厥 2 个亚类；
T113	体检医师岗 1994 2021	根据是否伴有损伤进一步细分为损伤和无损伤 2 个亚类；
T114	体检医师岗 2028 2076	根据是否在献血场所发生进一步细分为在献血场所发生（当场）和离开献血场所后发生（离场）2 个亚类。
T115	体检医师岗 2080 2159	注：在献血场所，献血服务工作人员能够对献血者进行观察，并对出现献血不良反应的献血者进行适当处理。献血者离开献血场所后，献血服务工作人员无法对其进行观察和照护。
T116	体检医师岗 2167 2183	C 类 单采血液成分相关不良反应
T117	体检医师岗 2193 2348;2349 2359	枸橼酸盐反应。枸橼酸盐是单采血液成分常用的抗凝剂，通过螯合钙离子而发挥抗凝作用。在单采过程中，较大量枸橼酸盐回输到献血者体内，可引发低钙血症和低镁血症。神经肌肉系统的表现主要有口唇及口周发麻、面部麻木、头晕、抽搐、颤抖、恶心、呕吐，严重者出现腕足强直性痉挛、抽搐。心血管系统的表现主要有低血压、心律不齐、心电图 QT 间期明显延长。
T118	体检医师岗 2369 2468	溶血反应。献血者红细胞膜脆性高或在单采过程中红细胞受到损伤所致。主要表现有寒战、发热、烦躁、胸痛、背痛、腹痛、恶心、呕吐、腹泻、面色潮红、呼吸困难、低血压、休克、全身出血及血红蛋白尿、少尿或无尿等。
T119	体检医师岗 2478 2567	全身过敏反应。献血者对一次性单采耗材灭菌剂或者在单采粒细胞程序采用的添加剂发生过敏反应。主要表现有荨麻疹、眶周水肿、呼吸困难、唇周发红肿胀，严重者可出现喉头水肿、低血压甚至休克。
T120	体检医师岗 2577 2647	空气栓塞。较大量空气通过单采设备或者破漏管路进入静脉系统所致，是单采的罕见不良反应。主要表现有胸部不适、呼吸困难、心动过速、低血压甚至休克。
T121	体检医师岗 2655 2669	D 类 献血相关其他不良反应
T122	体检医师岗 2673 2699	不属于3.1～3.3所述的其他献血不良反应归入该类。
T123	体检医师岗 2706 2719	献血不良反应严重程度的评估
T124	体检医师岗 2727 2767	根据是否需要治疗和结局，献血不良反应严重程度可分为重度不良反应和非重度不良反应。
T125	体检医师岗 2775 2801	具备以下任一条件的献血不良反应可判断为重度不良反应：
T126	体检医师岗 2808 2830	献血不良反应导致住院并采取以下任一治疗措施：
T127	体检医师岗 2835 2855	防止机体功能受到终身性损害或损伤的治疗；
T128	体检医师岗 2860 2868	防止死亡的治疗。
T129	体检医师岗 2873 2907	献血不良反应导致明显残疾或功能不全，且在献血后持续存在 1 年以上。
T130	体检医师岗 2912 2944	献血不良反应出现后发生死亡，死亡原因可疑、可能或肯定与献血有关。
T131	体检医师岗 2952 2982	不符合上述重度不良反应判断条件的不良反应即为非重度不良反应。
T132	体检医师岗 2989 3002	不良反应与献血相关性的评估
T133	体检医师岗 3010 3033	根据证据的支持力度评估不良反应与献血的相关性。
T134	体检医师岗 3041 3061	不良反应与献血的相关性分为以下 5 级：
T135	体检医师岗 3068 3104	1 级：肯定相关，支持献血导致不良反应发生的证据确凿，不存在合理的质疑；
T136	体检医师岗 3109 3137	2 级：可能相关，证据明显有利于支持不良反应与献血相关；
T137	体检医师岗 3142 3176	3 级：可疑相关，证据无法确定不良反应与献血相关还是与其他因素相关；
T138	体检医师岗 3181 3211	4 级：可能无关，证据明显有利于支持不良反应与其他原因相关；
T139	体检医师岗 3216 3259	5 级：肯定无关，支持献血以外的其他原因导致不良反应发生的证据确凿，不存在合理的质疑。
