text,class,label
2.11.3.3采集过程中，应加强与献血者的沟通，尽量详细告知采集流程并告知采集过程中设备提示音、警示灯、袖带压力等的意义；在进行每一项主要操作之前，与献血者沟通并取得配合。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.3.4与献血者进行交流，观察献血者面容、表情，及时发现并处置献血不良反应。采集程序进行中如出现口唇周围麻木现象，可给予献血者口服葡萄糖酸钙。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.3.5粒细胞采集过程中做好关键指标的记录，包括采集时间、品种、体外循环血量、抗凝剂的使用量等。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.3.6采集完成后，松开压脉带，关闭采血管路上的主流夹后拔针。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.3.7如遇回输不畅，在征得献血者同意后，可更换新的采集针重新穿刺后回输。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.3.8单采粒细胞采集场所必须建立单采粒细胞辅助剂使用剂量和管理的标准。对于促进粒细胞单采的药物，需规定一定周期内献血者可服用的辅助剂的最大累积量。如在献血者健康征询中发现该类药物可能会导致该献血者发生健康状况恶化，则不得给献血者服用。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.3单采粒细胞采集,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.12.1全血采血量达到要求时，嘱献血者松拳，松开止血带，合闭止流夹，用创可贴/消毒棉球/敷料轻按静脉穿刺点，拨出针头后指导献血者加重按压穿刺点10～15分钟。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.12.2单采血小板和单采粒细胞采集达到要求时，根据血细胞分离机提示完成相应操作结束采集，用敷料轻按静脉穿刺点，拨出针头后指导献血者加重按压穿刺点10～15分钟。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.12.3嘱献血者在休息区休息10～15分钟，感觉无不适后方可离开。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.12.4	如献血者出现穿刺部位局部出血、疼痛、过敏或者全身性血管迷走神经反应等献血不良反应，及时进行处置，必要时进行后续跟踪处理。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.12采血结束和献血者休息与观察,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.13.1应告知每位献血者献血后注意事项，并制作相应宣传须知进行发放。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.13.2献血后注意事项至少应包括：穿刺点敷料应保留至少4小时；补充水分，,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.13献血后注意事项的告知,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.14致谢,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.16.4	条形码标识未完成前不宜与献血登记表分离，条形码从背贴纸上揭下后应直接贴在袋\管\导管上，不宜临时粘贴到其他位置。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.16血袋及血液标本标识,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.17.1热合分离针头，将针头放置在利器盒内。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.17.2分段热合血袋导管，以供交叉配血、血型复查和血液标本保存使用。全,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.17.3	在热合过程中不应用力牵拉或扭转导管，待焊极松开1～2秒后方可取出已封口的导管。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.17.4	检查热合部位，如有渗漏，应从近血袋端重新热合，并评估对血液无菌性的影响。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.17热合,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.18.1全血采集后，根据其制备用途，尽快在规定的温度下保存。用于制备浓缩血小板的全血在20～24℃的条件下保存。其它制备用途的全血在2～6℃温度下保存。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.18.2	单采血小板和单采粒细胞采集后，应当放置在20～24℃的条件下。单采血小板还应振荡保存。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.18血液暂存,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.1导则,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.2.1献血场所的人员、设施、设备和器具、关键物料的配备应满足采血要求。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.2.2献血场所按工作流程合理布置，环境温湿度符合相关要求。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.2.3检查确认电源、照明、疏散安全等，符合相关法律法规要求，保证安全。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.2.4	应配备处理献血不良反应和职业暴露的急救用品与器材，并定期检查，保证在有效期内。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.2献血场所配置,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.3.1	心理调适采血人员调整好心理与情绪，进入为献血者服务工作状态，应做到情绪稳定，工作热情，说话和气，态度和蔼，耐心细致。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.3.2	技术准备熟悉采血技术操作规程，尤其应注意和掌握关键控制点和近期变更的操作步骤。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.3.3	着装与配饰采血人员着工作制服，不佩戴戒指、手镯（链）等影响操作的饰物。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.3.4	感染控制采血人员保持手卫生，采血操作应当符合国家关于感染控制有关规定。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.3采血人员准备,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.1采血器材清单建立采血器材卡片，列出采血位所需的全部器材。采血人员按卡片准备和核查采血器材的种类和数量。采血器材的数量与预计采血量相适宜。采血器材准备工作应有专人复核。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.2.1无破损、无渗漏，无污染，抗凝剂和保养液无变色。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.2.2宜采用具有旁路留样系统的血袋。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.2全血血袋,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.3单采耗材相关耗材外包装完整，无破损、无渗漏，无污染。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.4	标本管,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.4.1	带有分离胶用于核酸检测的标本管。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.4.2	用于血清学检测、ALT和血型检测的标本管。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.4.3	试管完整无破裂、试管帽无松动、抗凝剂、分离胶等内容物无异常。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.5	消毒剂,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.5.1	采血穿刺部位的消毒，一般选用含碘消毒剂，对碘过敏者可选用其他消毒剂；采血人员手消毒，宜采用以乙醇和正丙醇为有效成分的速干手消毒凝胶；采血器材消毒剂的选择，应根据采血器材的类别选择适用的消毒剂。未加防锈剂的含氯消毒剂对金属有腐蚀性，不应用于金属器械的消毒。加防锈剂的含氯消毒剂对金属器械消毒后，应用无菌蒸馏水冲洗干净，干燥后使用。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.5.2	所用消毒剂应当符合相应的国家标准要求。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.5.3	标明启用日期、启用后失效期并签名。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.6	血液采集所使用的物品及消毒剂均应在有效期内，涉及到有包装的，使用前应当确保包装完好。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7	采集准备,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.1	全血采集准备,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.1.1	采血秤开启并检查采血秤，校准证实处于正常状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.1.2	热合机开启并检查热合机，证实处于正常状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.1.3	血液暂存冰箱（运输箱）检查血液暂存设备，证实其温度控制处于正常状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.2	单采血小板采集,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.2.1	血细胞分离机开启并进行自检，证实正常运行。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.2.2	手持式热合机开启并检查热合机，证实处于正常状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.2.3	血小板恒温振荡仪开启并检查血小板恒温振荡仪，证实处于正常状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.2.4	电子秤开启并检查电子秤，证实处于正常状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.3	单采粒细胞采集,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.3.1	血细胞分离机开启并进行自检，证实正常运行。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.3.2	手持式热合机开启并检查热合机，证实处于正常状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4.7.3.3	电子秤开启并检查电子秤，证实处于正常状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.4采血器材准备,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.5	献血者沟通与评估,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.5.1迎接献血者，并为其提供咨询和护理服务。应加强与献血者的沟通，告知其献血流程及注意事项，引导献血者配合采血，尤其是进行每一项涉及献血者的操作之前，应当与献血者沟通并取得配合。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.5.2	询问献血者的既往献血经历、近日休息等情况，评估出现献血不良反应的可能性和不适合献血的情况。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.5.3	观察献血者面部表情和肢体语言，是否处于紧张、害怕甚至恐惧状态。如发现这些不利情况，则不急于采血，做好宽慰工作，待献血者解除思想顾虑，充分放松后开始准备采血。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.6	献血前核对,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.7	采集前的设备安装调试,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.7.1	全血采集的血袋选择和采血秤调设,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.7.1.1	按献血量选择血袋，检查确认血袋在有效期内并做外观检查。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.7.1.2	按献血量调设采血秤进入使用前状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.7.2	单采血小板采集的耗材选择和采血秤调设,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.7.2.1	根据血细胞分离机屏幕提示完成耗材安装，采集前管路安装按照厂家说明书进行操作。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.7.2.2		根据血细胞分离机提示，录入献血者体重、血小板计数等相关信息，并进行单采血小板参数设置，确保采后献血者血小板计数不低于100×109/L。2.7.3	单采粒细胞采集的耗材选择和采血秤调设,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.7.3.1	根据血细胞分离机屏幕提示完成耗材安装，采集前管路要求按照厂家说明书进行操作。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.7.3.2	根据血细胞分离机提示，录入献血者体重等相关信息，并进行单采粒细胞的参数设置。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.8	静脉及其穿刺路径评估与选择,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.8.1	穿刺部位的选择	应选择无损伤、炎症、皮疹、皮癣、疤痕的皮肤区域为穿刺部位。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"2.8.2	穿刺静脉的选择	应选择上肢肘部清晰可见、粗大、充盈饱满、弹性好、较固定、不易滑动的静脉；常选择的静脉主要有肘正中静脉、头静脉、前臂正中静脉、贵要静脉等；用食指指腹上下左右触摸，确定其位置、粗细和弹性，评估并确定穿刺位点和路径；使用止血带,使静脉充盈，便于触及和穿刺。",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.9	穿刺部位消毒,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.9.1	进行穿刺操作前工作人员应进行手消毒。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.9.2	用无菌棉蘸取适量消毒剂，以穿刺点为中心，自内向外螺旋式旋转涂拭，,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.9.3	不应触摸已消毒的皮肤，不应靠近已消毒的皮肤讲话。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
20%三氯醋酸溶液：称取20克三氯醋酸，用适量蒸馏水溶解，再加蒸馏水稀释至100mL。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2019年4月,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2n,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2）计算SI上限值和SI下限值：,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3	血液成分制备,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3	血液成分制备	12,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3 级：可疑相关，证据无法确定不良反应与献血相关还是与其他因素相关；,['体检医师岗'],"[1, 0, 0, 0, 0, 0, 0]"
3.1	导则,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.10	使用全自动全血成分分离机制备悬浮红细胞、浓缩血小板、冰冻血浆等血液成分时，按照设备使用说明书进行操作。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.3.5同3.11.2.8。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4.1.1将制备好的富含血小板的白膜，用无菌接驳的方法进行连接、汇集，,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4.1.2轻离心后，分离出混合浓缩血小板并废弃白膜袋。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4.1.3如分离在血小板专用袋，应采用无菌接驳方式连接。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4.1白膜混合制备,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4.2.1将制备好的单袋浓缩血小板进行汇集。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4.2.2如汇集在血小板专用袋，应采用无菌接驳的方法进行连接、汇集。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4.2单袋浓缩血小板混合制备,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4.3	将2袋或2袋以上的浓缩血小板汇集后即为混合浓缩血小板，应建立相应程序，确保汇集后血袋标识的唯一性和可追溯性。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4.4开放系统汇集后保存期为6小时，且不超过原最短保存期。密闭系统,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.4混合浓缩血小板的制备,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.5.1用于制备冷沉淀凝血因子的起始血液为新鲜冰冻血浆。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.5冷沉淀凝血因子制备,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.1.1	根据操作说明书设置医用病毒灭活光照箱的参数。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.1.2	根据血浆的规格选择相应亚甲蓝病毒灭活器材。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.1.3	用无菌接驳设备或A级洁净工作台内按无菌操作技术将血浆袋与亚甲蓝病毒灭活器材连接。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.1.4	将血袋悬挂于支架上，打开导管夹，使血浆经“亚甲蓝添加元件”，流入光照袋。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.1.5	在医用血浆病毒灭活光照柜中进行光照。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.1.6	光照处理后的血浆经病毒灭活装置配套用输血过滤器过滤，滤除亚,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.2.1	根据操作说明书设置病原体灭活光照箱的参数。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.2.2	根据血浆或血小板的规格选择相应核黄素病原体灭活器材。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.2.3	用无菌接驳设备或A级洁净工作台内按无菌操作技术将血浆袋或血小板袋与病原体灭活器材连接。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.2.4	将血袋或血小板袋悬挂于支架上，使血浆或血小板经“核黄素添加元件”，流入光照袋。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
3.11.8.2.5	在病原体灭活光照箱中进行光照后即得病原体灭活血浆或病原体灭活血小板。血浆按需冰冻。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
